TITLE,ALT_WORDS,DESC_ID,DESCRIPTION
Margarine tub,"tubs, containers",10,"Please remove any foil seals, rinse and place in your Blue Bin with lid on. All recycling should fit in your Blue Bin with the lid closed. If you have extra recycling, please keep materials until your next Blue Bin collection. Occasionally you can place extra recycling in clear plastic bags beside the full blue bin. If you wish to exchange your Blue Bin for a larger size (at no cost), please call 311.   "
Sour cream tub ,"tubs, plastic lids, food tub, ",10,"Please remove any foil seals, rinse and place in your Blue Bin with lid on. All recycling should fit in your Blue Bin with the lid closed. If you have extra recycling, please keep materials until your next Blue Bin collection. Occasionally you can place extra recycling in clear plastic bags beside the full blue bin. If you wish to exchange your Blue Bin for a larger size (at no cost), please call 311.   "
Plastic ice cream tub,"tubs, plastic ice cream containers ",10,"Please remove any foil seals, rinse and place in your Blue Bin with lid on. All recycling should fit in your Blue Bin with the lid closed. If you have extra recycling, please keep materials until your next Blue Bin collection. Occasionally you can place extra recycling in clear plastic bags beside the full blue bin. If you wish to exchange your Blue Bin for a larger size (at no cost), please call 311.   "
Cottage cheese tub,,10,"Please remove any foil seals, rinse and place in your Blue Bin with lid on. All recycling should fit in your Blue Bin with the lid closed. If you have extra recycling, please keep materials until your next Blue Bin collection. Occasionally you can place extra recycling in clear plastic bags beside the full blue bin. If you wish to exchange your Blue Bin for a larger size (at no cost), please call 311.   "
Yogurt tub,"yoghurt, yougurt, container",10,"Please remove any foil seals, rinse and place in your Blue Bin with lid on. All recycling should fit in your Blue Bin with the lid closed. If you have extra recycling, please keep materials until your next Blue Bin collection. Occasionally you can place extra recycling in clear plastic bags beside the full blue bin. If you wish to exchange your Blue Bin for a larger size (at no cost), please call 311.   "
Plastic jar,plastic jars,10,"Please remove any foil seals, rinse and place in your Blue Bin with lid on. All recycling should fit in your Blue Bin with the lid closed. If you have extra recycling, please keep materials until your next Blue Bin collection. Occasionally you can place extra recycling in clear plastic bags beside the full blue bin. If you wish to exchange your Blue Bin for a larger size (at no cost), please call 311.   "
Potato chip container ,"Pringles, packaging, cans, rigid, ",10,"Please remove any foil seals, rinse and place in your Blue Bin with lid on. All recycling should fit in your Blue Bin with the lid closed. If you have extra recycling, please keep materials until your next Blue Bin collection. Occasionally you can place extra recycling in clear plastic bags beside the full blue bin. If you wish to exchange your Blue Bin for a larger size (at no cost), please call 311.   "
Food can,"cans, tin, steel can, sauce can, soup can, coffee can",13,"Please place the can in your Blue Bin.  Make sure each can is empty and rinsed. To avoid injury, place sharp edged lids inside cans and pinch shut.   All recycling should fit in your Blue Bin with the lid closed.  If you have extra recycling, please keep materials until your next Blue Bin collection. Occasionally you can place extra recycling in clear plastic bags beside the full blue bin. If you wish to exchange your Blue Bin for a larger size (at no cost), please call 311.  "
Steel can (soup and other),"cans, metal, containers, food, tin",13,"Please place the can in your Blue Bin.  Make sure each can is empty and rinsed. To avoid injury, place sharp edged lids inside cans and pinch shut.   All recycling should fit in your Blue Bin with the lid closed.  If you have extra recycling, please keep materials until your next Blue Bin collection. Occasionally you can place extra recycling in clear plastic bags beside the full blue bin. If you wish to exchange your Blue Bin for a larger size (at no cost), please call 311.  "
Aerosol can - empty,"spray paint can, hairspray, mousse, compressed air, shaving cream can, shaving gel can, shave cream can, whipping cream can, whipped cream can",17,"Please place empty aerosol cans into your Blue Bin and their plastic caps in your Garbage Bin.  Make sure all containers are empty.  Aerosol cans containing hazardous products should be disposed of as <a href=""http://www.toronto.ca/hhw"" target=""_blank"">Household Hazardous Waste</a>.  All recycling should fit in your Blue Bin with the lid closed.  If you have extra recycling, please keep materials until your next Blue Bin collection.  Occasionally you can place extra recycling in clear plastic bags beside the full blue bin. If you wish to exchange your Blue Bin for a larger size (at no cost), please call 311.  "
Yard Waste,"pine needles, pine cones, crab apples",41,"Please place this item in your Yard Waste Bin, paper Yard Waste bag or any open top, rigid, reusable container that has handles weighing less than 20 kgs (44 lbs).  Please leave your grass clippings on your lawn.  Yard waste containing grass clippings  or sod will not be picked up.  "
mulch,"bark chips, wood chips",41,"Please place this item in your Yard Waste Bin, paper Yard Waste bag or any open top, rigid, reusable container that has handles weighing less than 20 kgs (44 lbs).  Please leave your grass clippings on your lawn.  Yard waste containing grass clippings  or sod will not be picked up.  "
Peat moss flower pot,"planter, peatmoss, peat-moss",41,"Please place this item in your Yard Waste Bin, paper Yard Waste bag or any open top, rigid, reusable container that has handles weighing less than 20 kgs (44 lbs).  Please leave your grass clippings on your lawn.  Yard waste containing grass clippings  or sod will not be picked up.  "
Coconut flower pot,"coco-fiber, coco-fibre, planter",41,"Please place this item in your Yard Waste Bin, paper Yard Waste bag or any open top, rigid, reusable container that has handles weighing less than 20 kgs (44 lbs).  Please leave your grass clippings on your lawn.  Yard waste containing grass clippings  or sod will not be picked up.  "
Wood chips/shavings,"lawn chips, bark",41,"Please place this item in your Yard Waste Bin, paper Yard Waste bag or any open top, rigid, reusable container that has handles weighing less than 20 kgs (44 lbs).  Please leave your grass clippings on your lawn.  Yard waste containing grass clippings  or sod will not be picked up.  "
Garden trimmings/Weeds,"weeds, small shrubs, garlic mustard plant",41,"Please place this item in your Yard Waste Bin, paper Yard Waste bag or any open top, rigid, reusable container that has handles weighing less than 20 kgs (44 lbs).  Please leave your grass clippings on your lawn.  Yard waste containing grass clippings  or sod will not be picked up.  "
Hay  ,straw bales,41,"Please place this item in your Yard Waste Bin, paper Yard Waste bag or any open top, rigid, reusable container that has handles weighing less than 20 kgs (44 lbs).  Please leave your grass clippings on your lawn.  Yard waste containing grass clippings  or sod will not be picked up.  "
Outdoor garden plant,bulbs,41,"Please place this item in your Yard Waste Bin, paper Yard Waste bag or any open top, rigid, reusable container that has handles weighing less than 20 kgs (44 lbs).  Please leave your grass clippings on your lawn.  Yard waste containing grass clippings  or sod will not be picked up.  "
Lawn edging (earth removed),,41,"Please place this item in your Yard Waste Bin, paper Yard Waste bag or any open top, rigid, reusable container that has handles weighing less than 20 kgs (44 lbs).  Please leave your grass clippings on your lawn.  Yard waste containing grass clippings  or sod will not be picked up.  "
Leaves,leaf,41,"Please place this item in your Yard Waste Bin, paper Yard Waste bag or any open top, rigid, reusable container that has handles weighing less than 20 kgs (44 lbs).  Please leave your grass clippings on your lawn.  Yard waste containing grass clippings  or sod will not be picked up.  "
Fruit fallen from trees,"windfall, walnuts, pine cones, pinecone, fallen fruit from trees, acorns",41,"Please place this item in your Yard Waste Bin, paper Yard Waste bag or any open top, rigid, reusable container that has handles weighing less than 20 kgs (44 lbs).  Please leave your grass clippings on your lawn.  Yard waste containing grass clippings  or sod will not be picked up.  "
Paint can (empty),"metal, paint, cans",45,"Please place empty cans in your Blue Bin.  Remove lids and place both items in your Blue Bin.   All recycling should fit in your Blue Bin with the lid closed.  If you have extra recycling, please keep materials until your next Blue Bin collection. Occasionally you can place extra recycling in clear plastic bags beside the full blue bin. If you wish to exchange your Blue Bin for a larger size (at no cost), please call 311.  "
Roofing tar metal pail (empty),"roofing tar container (empty), can",45,"Please place empty cans in your Blue Bin.  Remove lids and place both items in your Blue Bin.   All recycling should fit in your Blue Bin with the lid closed.  If you have extra recycling, please keep materials until your next Blue Bin collection. Occasionally you can place extra recycling in clear plastic bags beside the full blue bin. If you wish to exchange your Blue Bin for a larger size (at no cost), please call 311.  "
Calendar ,,50,"Please remove the spiral and place only the paper portion of this item in your Blue Bin.  Place the spiral in your Garbage Bin.  All recycling should fit in your Blue Bin with the lid closed.  If you have extra recycling, please keep materials until your next Blue Bin collection. Occasionally you can place extra recycling in clear plastic bags beside the full blue bin. If you wish to exchange your Blue Bin for a larger size (at no cost), please call 311.  "
Basketball stand (rim and pole),"basketball hoop, basketball pole",60,"Items that would never fit in your Garbage Bin, when empty, are considered oversize and collected curbside.  Please break down, bundle and/or tie where possible. Place items 0.5 metre (2 feet) away from your Garbage Bin on your scheduled garbage collection day for free pick-up.  Bag tags are not required.  "
Mylar paper,"film, static, matte, overhead",82,Please place this item in your Garbage Bin ensuring the lid closes or in a garbage bag (weighing less than 20 kgs/44 lbs) affixed with a City-issued garbage bag tag.  This item is not recyclable at this time. 
Paint tray and liner (plastic),,82,Please place this item in your Garbage Bin ensuring the lid closes or in a garbage bag (weighing less than 20 kgs/44 lbs) affixed with a City-issued garbage bag tag.  This item is not recyclable at this time. 
Plant tray,"bottom, drip tray",82,Please place this item in your Garbage Bin ensuring the lid closes or in a garbage bag (weighing less than 20 kgs/44 lbs) affixed with a City-issued garbage bag tag.  This item is not recyclable at this time. 
Pool noodle,"flotation, floatation",82,Please place this item in your Garbage Bin ensuring the lid closes or in a garbage bag (weighing less than 20 kgs/44 lbs) affixed with a City-issued garbage bag tag.  This item is not recyclable at this time. 
Flower (artificial),"fake, arrangements",82,Please place this item in your Garbage Bin ensuring the lid closes or in a garbage bag (weighing less than 20 kgs/44 lbs) affixed with a City-issued garbage bag tag.  This item is not recyclable at this time. 
Furnace filter,,82,Please place this item in your Garbage Bin ensuring the lid closes or in a garbage bag (weighing less than 20 kgs/44 lbs) affixed with a City-issued garbage bag tag.  This item is not recyclable at this time. 
Bathroom scale,"metal scale, glass scale, kitchen scale",82,Please place this item in your Garbage Bin ensuring the lid closes or in a garbage bag (weighing less than 20 kgs/44 lbs) affixed with a City-issued garbage bag tag.  This item is not recyclable at this time. 
Electric Appliances,"blender, hair dryer, curling iron, blow dryer, electric toothbrush, shredder, coffee maker, kettle, food processor, juicer, electric can opener, electric razor, indoor grill",82,Please place this item in your Garbage Bin ensuring the lid closes or in a garbage bag (weighing less than 20 kgs/44 lbs) affixed with a City-issued garbage bag tag.  This item is not recyclable at this time. 
Light bulbs ,"incandescent, halogen, flood light, LED, pot light, pot lights, flood light, flood lights",82,Please place this item in your Garbage Bin ensuring the lid closes or in a garbage bag (weighing less than 20 kgs/44 lbs) affixed with a City-issued garbage bag tag.  This item is not recyclable at this time. 
Plant hanging basket ,,82,Please place this item in your Garbage Bin ensuring the lid closes or in a garbage bag (weighing less than 20 kgs/44 lbs) affixed with a City-issued garbage bag tag.  This item is not recyclable at this time. 
Rock salt,"road salt,de-icer, ice salt",82,Please place this item in your Garbage Bin ensuring the lid closes or in a garbage bag (weighing less than 20 kgs/44 lbs) affixed with a City-issued garbage bag tag.  This item is not recyclable at this time. 
Electronic Accessory,"coaxial cable, headphone, remote control, battery charger, electronic accessories, calculator, fibre optic cable, fiber optic cable",82,Please place this item in your Garbage Bin ensuring the lid closes or in a garbage bag (weighing less than 20 kgs/44 lbs) affixed with a City-issued garbage bag tag.  This item is not recyclable at this time. 
Tire,"tyres, automobile, automotive, car tire, small truck tire, tires",87,"Please take rubber tires, excluding heavy truck, forklift, and large off-road tires to a <a href=""http://www.toronto.ca/garbage/depots.htm"" target=""_blank"">Recycling and Solid Waste Depot</a>.  Tires must be removed from rims.  Up to five tires will be accepted free of charge.  Weight based fees will apply for additional tires.  Hours, locations, and contact information, are available through the web link."
Motor oil,"oils, car, automobile, automotive, oil jug, oil bottle, gas, gasoline, diesel",93,"This item is Household Hazardous Waste (HHW). Please take this item to one of the City's <a href=""www.toronto.ca/garbage/depots.htm"" target=""_blank"">Household Hazardous Waste Depots</a>. HHW MUST NOT be included in your Garbage Bin, Blue Bin, or poured down the drain.  HHW is also collected at <a href=""http://www.toronto.ca/environment_days/index.htm"" target=""_blank""> Community Environment Days</a>. For HHW between 10 to 50 litres/kilograms, residents can also request a free Toxic Taxi pick-up <a href=""https://secure.toronto.ca/webwizard/display.jsp?_wiz_sid=17649_x_Gu6Dyl-ZFnIa2_TvQG3fZQRcBHRODYQx8BVw&984&_wiz_19iDpbhL=1&_wiz_root=household_hazardous_waste"" target=""_blank"">online</a> or by calling 311. Residents can also check the <a href=""http://www.makethedrop.ca.""target=""_blank"">Orange Drop Program</a>."
Lubricant,"oil, WD-40, lube, WD40, chemicals",93,"This item is Household Hazardous Waste (HHW). Please take this item to one of the City's <a href=""www.toronto.ca/garbage/depots.htm"" target=""_blank"">Household Hazardous Waste Depots</a>. HHW MUST NOT be included in your Garbage Bin, Blue Bin, or poured down the drain.  HHW is also collected at <a href=""http://www.toronto.ca/environment_days/index.htm"" target=""_blank""> Community Environment Days</a>. For HHW between 10 to 50 litres/kilograms, residents can also request a free Toxic Taxi pick-up <a href=""https://secure.toronto.ca/webwizard/display.jsp?_wiz_sid=17649_x_Gu6Dyl-ZFnIa2_TvQG3fZQRcBHRODYQx8BVw&984&_wiz_19iDpbhL=1&_wiz_root=household_hazardous_waste"" target=""_blank"">online</a> or by calling 311. Residents can also check the <a href=""http://www.makethedrop.ca.""target=""_blank"">Orange Drop Program</a>."
Acid or base,"caustic chemicals, muriatic, acids",93,"This item is Household Hazardous Waste (HHW). Please take this item to one of the City's <a href=""www.toronto.ca/garbage/depots.htm"" target=""_blank"">Household Hazardous Waste Depots</a>. HHW MUST NOT be included in your Garbage Bin, Blue Bin, or poured down the drain.  HHW is also collected at <a href=""http://www.toronto.ca/environment_days/index.htm"" target=""_blank""> Community Environment Days</a>. For HHW between 10 to 50 litres/kilograms, residents can also request a free Toxic Taxi pick-up <a href=""https://secure.toronto.ca/webwizard/display.jsp?_wiz_sid=17649_x_Gu6Dyl-ZFnIa2_TvQG3fZQRcBHRODYQx8BVw&984&_wiz_19iDpbhL=1&_wiz_root=household_hazardous_waste"" target=""_blank"">online</a> or by calling 311. Residents can also check the <a href=""http://www.makethedrop.ca.""target=""_blank"">Orange Drop Program</a>."
Adhesive (all types),"glue, adhesives",93,"This item is Household Hazardous Waste (HHW). Please take this item to one of the City's <a href=""www.toronto.ca/garbage/depots.htm"" target=""_blank"">Household Hazardous Waste Depots</a>. HHW MUST NOT be included in your Garbage Bin, Blue Bin, or poured down the drain.  HHW is also collected at <a href=""http://www.toronto.ca/environment_days/index.htm"" target=""_blank""> Community Environment Days</a>. For HHW between 10 to 50 litres/kilograms, residents can also request a free Toxic Taxi pick-up <a href=""https://secure.toronto.ca/webwizard/display.jsp?_wiz_sid=17649_x_Gu6Dyl-ZFnIa2_TvQG3fZQRcBHRODYQx8BVw&984&_wiz_19iDpbhL=1&_wiz_root=household_hazardous_waste"" target=""_blank"">online</a> or by calling 311. Residents can also check the <a href=""http://www.makethedrop.ca.""target=""_blank"">Orange Drop Program</a>."
Aerosol can (full or partially full),spray,93,"This item is Household Hazardous Waste (HHW). Please take this item to one of the City's <a href=""www.toronto.ca/garbage/depots.htm"" target=""_blank"">Household Hazardous Waste Depots</a>. HHW MUST NOT be included in your Garbage Bin, Blue Bin, or poured down the drain.  HHW is also collected at <a href=""http://www.toronto.ca/environment_days/index.htm"" target=""_blank""> Community Environment Days</a>. For HHW between 10 to 50 litres/kilograms, residents can also request a free Toxic Taxi pick-up <a href=""https://secure.toronto.ca/webwizard/display.jsp?_wiz_sid=17649_x_Gu6Dyl-ZFnIa2_TvQG3fZQRcBHRODYQx8BVw&984&_wiz_19iDpbhL=1&_wiz_root=household_hazardous_waste"" target=""_blank"">online</a> or by calling 311. Residents can also check the <a href=""http://www.makethedrop.ca.""target=""_blank"">Orange Drop Program</a>."
Antifreeze,"chemicals, ethyl glycol",93,"This item is Household Hazardous Waste (HHW). Please take this item to one of the City's <a href=""www.toronto.ca/garbage/depots.htm"" target=""_blank"">Household Hazardous Waste Depots</a>. HHW MUST NOT be included in your Garbage Bin, Blue Bin, or poured down the drain.  HHW is also collected at <a href=""http://www.toronto.ca/environment_days/index.htm"" target=""_blank""> Community Environment Days</a>. For HHW between 10 to 50 litres/kilograms, residents can also request a free Toxic Taxi pick-up <a href=""https://secure.toronto.ca/webwizard/display.jsp?_wiz_sid=17649_x_Gu6Dyl-ZFnIa2_TvQG3fZQRcBHRODYQx8BVw&984&_wiz_19iDpbhL=1&_wiz_root=household_hazardous_waste"" target=""_blank"">online</a> or by calling 311. Residents can also check the <a href=""http://www.makethedrop.ca.""target=""_blank"">Orange Drop Program</a>."
Brake fluid,"car, automobile, automotive, chemical",93,"This item is Household Hazardous Waste (HHW). Please take this item to one of the City's <a href=""www.toronto.ca/garbage/depots.htm"" target=""_blank"">Household Hazardous Waste Depots</a>. HHW MUST NOT be included in your Garbage Bin, Blue Bin, or poured down the drain.  HHW is also collected at <a href=""http://www.toronto.ca/environment_days/index.htm"" target=""_blank""> Community Environment Days</a>. For HHW between 10 to 50 litres/kilograms, residents can also request a free Toxic Taxi pick-up <a href=""https://secure.toronto.ca/webwizard/display.jsp?_wiz_sid=17649_x_Gu6Dyl-ZFnIa2_TvQG3fZQRcBHRODYQx8BVw&984&_wiz_19iDpbhL=1&_wiz_root=household_hazardous_waste"" target=""_blank"">online</a> or by calling 311. Residents can also check the <a href=""http://www.makethedrop.ca.""target=""_blank"">Orange Drop Program</a>."
Transmission fluid,"car, automobile, automotive, chemicals",93,"This item is Household Hazardous Waste (HHW). Please take this item to one of the City's <a href=""www.toronto.ca/garbage/depots.htm"" target=""_blank"">Household Hazardous Waste Depots</a>. HHW MUST NOT be included in your Garbage Bin, Blue Bin, or poured down the drain.  HHW is also collected at <a href=""http://www.toronto.ca/environment_days/index.htm"" target=""_blank""> Community Environment Days</a>. For HHW between 10 to 50 litres/kilograms, residents can also request a free Toxic Taxi pick-up <a href=""https://secure.toronto.ca/webwizard/display.jsp?_wiz_sid=17649_x_Gu6Dyl-ZFnIa2_TvQG3fZQRcBHRODYQx8BVw&984&_wiz_19iDpbhL=1&_wiz_root=household_hazardous_waste"" target=""_blank"">online</a> or by calling 311. Residents can also check the <a href=""http://www.makethedrop.ca.""target=""_blank"">Orange Drop Program</a>."
Chlorine,"pool chemical, chlorine puck",93,"This item is Household Hazardous Waste (HHW). Please take this item to one of the City's <a href=""www.toronto.ca/garbage/depots.htm"" target=""_blank"">Household Hazardous Waste Depots</a>. HHW MUST NOT be included in your Garbage Bin, Blue Bin, or poured down the drain.  HHW is also collected at <a href=""http://www.toronto.ca/environment_days/index.htm"" target=""_blank""> Community Environment Days</a>. For HHW between 10 to 50 litres/kilograms, residents can also request a free Toxic Taxi pick-up <a href=""https://secure.toronto.ca/webwizard/display.jsp?_wiz_sid=17649_x_Gu6Dyl-ZFnIa2_TvQG3fZQRcBHRODYQx8BVw&984&_wiz_19iDpbhL=1&_wiz_root=household_hazardous_waste"" target=""_blank"">online</a> or by calling 311. Residents can also check the <a href=""http://www.makethedrop.ca.""target=""_blank"">Orange Drop Program</a>."
Cleaner or detergent,"household cleaning product, chemical, carpet cleaner",93,"This item is Household Hazardous Waste (HHW). Please take this item to one of the City's <a href=""www.toronto.ca/garbage/depots.htm"" target=""_blank"">Household Hazardous Waste Depots</a>. HHW MUST NOT be included in your Garbage Bin, Blue Bin, or poured down the drain.  HHW is also collected at <a href=""http://www.toronto.ca/environment_days/index.htm"" target=""_blank""> Community Environment Days</a>. For HHW between 10 to 50 litres/kilograms, residents can also request a free Toxic Taxi pick-up <a href=""https://secure.toronto.ca/webwizard/display.jsp?_wiz_sid=17649_x_Gu6Dyl-ZFnIa2_TvQG3fZQRcBHRODYQx8BVw&984&_wiz_19iDpbhL=1&_wiz_root=household_hazardous_waste"" target=""_blank"">online</a> or by calling 311. Residents can also check the <a href=""http://www.makethedrop.ca.""target=""_blank"">Orange Drop Program</a>."
Fertilizer,"lawn, chemicals, Miracle grow",93,"This item is Household Hazardous Waste (HHW). Please take this item to one of the City's <a href=""www.toronto.ca/garbage/depots.htm"" target=""_blank"">Household Hazardous Waste Depots</a>. HHW MUST NOT be included in your Garbage Bin, Blue Bin, or poured down the drain.  HHW is also collected at <a href=""http://www.toronto.ca/environment_days/index.htm"" target=""_blank""> Community Environment Days</a>. For HHW between 10 to 50 litres/kilograms, residents can also request a free Toxic Taxi pick-up <a href=""https://secure.toronto.ca/webwizard/display.jsp?_wiz_sid=17649_x_Gu6Dyl-ZFnIa2_TvQG3fZQRcBHRODYQx8BVw&984&_wiz_19iDpbhL=1&_wiz_root=household_hazardous_waste"" target=""_blank"">online</a> or by calling 311. Residents can also check the <a href=""http://www.makethedrop.ca.""target=""_blank"">Orange Drop Program</a>."
Fuel,"fuels, diesel, coal, coal oil, naphtha, kerosene, canned heat, sterno, fondue fuel, alcohol, petroleum, canister, camp fuel, white gas, camp fuel, lamp oil, gas, gasoline",93,"This item is Household Hazardous Waste (HHW). Please take this item to one of the City's <a href=""www.toronto.ca/garbage/depots.htm"" target=""_blank"">Household Hazardous Waste Depots</a>. HHW MUST NOT be included in your Garbage Bin, Blue Bin, or poured down the drain.  HHW is also collected at <a href=""http://www.toronto.ca/environment_days/index.htm"" target=""_blank""> Community Environment Days</a>. For HHW between 10 to 50 litres/kilograms, residents can also request a free Toxic Taxi pick-up <a href=""https://secure.toronto.ca/webwizard/display.jsp?_wiz_sid=17649_x_Gu6Dyl-ZFnIa2_TvQG3fZQRcBHRODYQx8BVw&984&_wiz_19iDpbhL=1&_wiz_root=household_hazardous_waste"" target=""_blank"">online</a> or by calling 311. Residents can also check the <a href=""http://www.makethedrop.ca.""target=""_blank"">Orange Drop Program</a>."
Oil filter,"filters, oils, automotive",93,"This item is Household Hazardous Waste (HHW). Please take this item to one of the City's <a href=""www.toronto.ca/garbage/depots.htm"" target=""_blank"">Household Hazardous Waste Depots</a>. HHW MUST NOT be included in your Garbage Bin, Blue Bin, or poured down the drain.  HHW is also collected at <a href=""http://www.toronto.ca/environment_days/index.htm"" target=""_blank""> Community Environment Days</a>. For HHW between 10 to 50 litres/kilograms, residents can also request a free Toxic Taxi pick-up <a href=""https://secure.toronto.ca/webwizard/display.jsp?_wiz_sid=17649_x_Gu6Dyl-ZFnIa2_TvQG3fZQRcBHRODYQx8BVw&984&_wiz_19iDpbhL=1&_wiz_root=household_hazardous_waste"" target=""_blank"">online</a> or by calling 311. Residents can also check the <a href=""http://www.makethedrop.ca.""target=""_blank"">Orange Drop Program</a>."
Paint or stain,,93,"This item is Household Hazardous Waste (HHW). Please take this item to one of the City's <a href=""www.toronto.ca/garbage/depots.htm"" target=""_blank"">Household Hazardous Waste Depots</a>. HHW MUST NOT be included in your Garbage Bin, Blue Bin, or poured down the drain.  HHW is also collected at <a href=""http://www.toronto.ca/environment_days/index.htm"" target=""_blank""> Community Environment Days</a>. For HHW between 10 to 50 litres/kilograms, residents can also request a free Toxic Taxi pick-up <a href=""https://secure.toronto.ca/webwizard/display.jsp?_wiz_sid=17649_x_Gu6Dyl-ZFnIa2_TvQG3fZQRcBHRODYQx8BVw&984&_wiz_19iDpbhL=1&_wiz_root=household_hazardous_waste"" target=""_blank"">online</a> or by calling 311. Residents can also check the <a href=""http://www.makethedrop.ca.""target=""_blank"">Orange Drop Program</a>."
Solvents,"lacquer thinner, paint thinner, naphtha, denatured alcohol, turpentine ",93,"This item is Household Hazardous Waste (HHW). Please take this item to one of the City's <a href=""www.toronto.ca/garbage/depots.htm"" target=""_blank"">Household Hazardous Waste Depots</a>. HHW MUST NOT be included in your Garbage Bin, Blue Bin, or poured down the drain.  HHW is also collected at <a href=""http://www.toronto.ca/environment_days/index.htm"" target=""_blank""> Community Environment Days</a>. For HHW between 10 to 50 litres/kilograms, residents can also request a free Toxic Taxi pick-up <a href=""https://secure.toronto.ca/webwizard/display.jsp?_wiz_sid=17649_x_Gu6Dyl-ZFnIa2_TvQG3fZQRcBHRODYQx8BVw&984&_wiz_19iDpbhL=1&_wiz_root=household_hazardous_waste"" target=""_blank"">online</a> or by calling 311. Residents can also check the <a href=""http://www.makethedrop.ca.""target=""_blank"">Orange Drop Program</a>."
